ano,país,valor_fob_usd
2018,Cuba,33747838
2018,Curaçao,60019
2018,Dinamarca,689302429
2018,Djibuti,14924
2018,Dominica,38365
2018,Egito,269477485
2018,El Salvador,6121701
2018,Emirados Árabes Unidos,561532769
2018,Equador,112310876
2018,Eritreia,1478
2018,Eslováquia,140123764
2018,Eslovênia,81067533
2018,Espanha,3098978438
2018,Estados Unidos,32831387703
2018,Estônia,42693176
2018,Etiópia,59475
2018,Falkland (Malvinas),2588
2018,"Faroe, Ilhas",1303
2018,Fiji,73240
2018,Filipinas,279507879
2018,Finlândia,453902547
2018,França,5209950414
2018,Gabão,5337
2018,Gana,140115295
2018,Geórgia,353190
2018,Gibraltar,609
2018,Granada,41177
2018,Grécia,172823579
2018,Guadalupe,20831
2018,Guatemala,39863892
2018,Guiana,1553658
2018,Guiana Francesa,154668
2018,Guiné,1988574
2018,Guiné Equatorial,8519548
2018,Guiné-Bissau,1768470
2018,Gâmbia,3491
2018,Haiti,1413104
2018,"Heard e ilhas mcdonald, Ilha",4413
2018,Honduras,14018027
2018,Hong Kong,726870302
2018,Hungria,387294212
2018,Ilha de Man,17584
2018,Indonésia,1356221291
2018,Iraque,327172645
2018,Irlanda,641727430
2018,Irã,39916882
2018,Islândia,13175029
2018,Israel,1178121301
2018,Itália,4919209003
2018,Iêmen,68277
2018,Jamaica,1089632
2018,Japão,4849484603
2018,"Johnston, Ilhas",235
2018,Jordânia,8297534
2018,Kiribati,574
2018,Laos,1870615
2018,Lesoto,39076
2018,Letônia,13235615
2018,Libéria,1167985
2018,Liechtenstein,9862481
2018,Lituânia,39019055
2018,Luxemburgo,59606707
2018,Líbano,27535321
2018,Líbia,95210121
2018,Macau,3046207
2018,Macedônia,6123899
2018,Madagascar,3080539
2018,Malavi,1349195
2018,Maldivas,458
2018,Mali,11140
2018,Malta,13913291
2018,Malásia,1627951705
2018,"Marianas do Norte, Ilhas",24
2018,Marrocos,930058695
2018,"Marshall, Ilhas",212457
2018,Martinica,88630
2018,Mauritânia,1838
2018,Maurício,1322291
2018,Mianmar,7283338
2018,Micronésia,1216
2018,Moldávia,4491780
2018,Mongólia,248467
2018,Montenegro,122290
2018,Moçambique,131451737
2018,México,5281180492
2018,Mônaco,5537332
2018,Namíbia,53672
2018,Nepal,150703
2018,Nicarágua,4244408
2018,Nigéria,1557063814
2018,"Norfolk, Ilha",831
2018,Noruega,549778267
2018,Nova Caledônia,113065
2018,Nova Zelândia,60475886
2018,Níger,2472834
2018,Omã,124587907
2018,Organizações Internacionais,132
2018,"Pacífico, Ilhas do (EUA)",53326
2018,Palau,37600
2018,Palestina,393804
2018,Panamá,14375547
2018,Papua Nova Guiné,286107
2018,Paquistão,67063757
2018,Paraguai,2798925878
2018,Países Baixos (Holanda),1708078813
2018,Peru,1814364084
2018,Pitcairn,794
2018,Polinésia Francesa,103481
2018,Polônia,700384126
2018,Porto Rico,386729759
2018,Portugal,989381402
2018,Quirguistão,457
2018,Quênia,1555330
2018,Reino Unido,2427640607
2018,República Centro-Africana,5676
2018,República Dominicana,15872545
2018,Romênia,322734014
2018,Ruanda,17103
2018,Rússia,3403255124
2018,Saara Ocidental,727
2018,Samoa,2044743
2018,Samoa Americana,541
2018,San Marino,9496501
2018,Santa Helena,8
2018,Santa Lúcia,1111
2018,Seicheles,247504
2018,Senegal,4572944
2018,Serra Leoa,31096
2018,Singapura,690261437
2018,Sint Maarten,2183
2018,Somália,4750
2018,Sri Lanka,58599847
2018,Suazilândia,112029
2018,Sudão,59031
2018,Sudão do Sul,13912
2018,Suriname,1064341
2018,Suécia,1350402730
2018,Suíça,2250495578
2018,São Cristóvão e Névis,763653
2018,São Tomé e Príncipe,206139
2018,São Vicente e Granadinas,28959
2018,Sérvia,26995598
2018,Síria,1764093
2018,Tadjiquistão,802014
2018,Tailândia,1681308528
2018,Taiwan (Formosa),2210502943
2018,Tanzânia,248127
2018,"Tcheca, República",530033787
2018,Timor Leste,602
2018,Toquelau,738804
2018,Trinidad e Tobago,510411815
2018,Tunísia,31083256
2018,"Turcas e Caicos, Ilhas",656
2018,Turcomenistão,5706881
2018,Turquia,725985660
2018,Ucrânia,61696762
2018,Uganda,46168
2018,Uruguai,1160340743
2018,Uzbequistão,199671
2018,Vanuatu,243
2018,Vaticano,426
2018,Venezuela,170876661
2018,Vietnã,2321523686
2018,"Virgens, Ilhas (Americanas)",124410
2018,"Virgens, Ilhas (Britânicas)",1668987
2018,Zimbábue,1059743
